Place,Business2015,Employment2015
"Z01370 (Shelburne Falls, MA)",131,587
"Z01373 (South Deerfield, MA)",136,2939
"Z01375 (Sunderland, MA)",49,566
"Z01376 (Turners Falls, MA)",98,1633
"Z01378 (Warwick, MA)",5,12
"Z01379 (Wendell, MA)",13,23
"Z01380 (Wendell Depot, MA)",2,a
"Z01420 (Fitchburg, MA)",745,10041
"Z01430 (Ashburnham, MA)",94,538
"Z01431 (Ashby, MA)",59,174
"Z01432 (Ayer, MA)",229,4076
"Z01434 (Devens, MA)",66,2773
"Z01436 (Baldwinville, MA)",34,479
"Z01438 (East Templeton, MA)",20,194
"Z01440 (Gardner, MA)",411,6714
"Z01441 (Westminster, MA)",10,f
"Z01450 (Groton, MA)",211,2118
"Z01451 (Harvard, MA)",141,666
"Z01452 (Hubbardston, MA)",54,277
"Z01453 (Leominster, MA)",1093,17424
"Z01460 (Littleton, MA)",306,7847
"Z01462 (Lunenburg, MA)",203,1807
"Z01463 (Pepperell, MA)",208,1327
"Z01464 (Shirley, MA)",117,1332
"Z01467 (Still River, MA)",8,31
"Z01468 (Templeton, MA)",56,264
"Z01469 (Townsend, MA)",127,1336
"Z01471 (Groton, MA)",3,e
"Z01472 (West Groton, MA)",10,325
"Z01473 (Westminster, MA)",157,1367
"Z01474 (West Townsend, MA)",25,110
"Z01475 (Winchendon, MA)",151,1218
"Z01477 (Winchendon Springs, MA)",1,a
"Z01501 (Auburn, MA)",600,10763
"Z01503 (Berlin, MA)",76,347
"Z01504 (Blackstone, MA)",132,774
"Z01505 (Boylston, MA)",121,1309
"Z01506 (Brookfield, MA)",45,159
"Z01507 (Charlton, MA)",225,2242
"Z01508 (Charlton City, MA)",23,342
"Z01509 (Charlton Depot, MA)",4,11
"Z01510 (Clinton, MA)",244,3385
"Z01515 (East Brookfield, MA)",44,432
"Z01516 (Douglas, MA)",127,714
"Z01518 (Fiskdale, MA)",63,497
"Z01519 (Grafton, MA)",94,1267
"Z01520 (Holden, MA)",271,2904
"Z01521 (Holland, MA)",21,61
"Z01522 (Jefferson, MA)",30,96
"Z01523 (Lancaster, MA)",120,1841
"Z01524 (Leicester, MA)",107,1329
"Z01525 (Linwood, MA)",22,171
"Z01526 (Manchaug, MA)",11,56
"Z01527 (Millbury, MA)",292,4319
"Z01529 (Millville, MA)",33,100
"Z01531 (New Braintree, MA)",18,29
"Z01532 (Northborough, MA)",494,8523
"Z01534 (Northbridge, MA)",64,787
"Z01535 (North Brookfield, MA)",76,717
"Z01536 (North Grafton, MA)",144,1774
"Z01537 (North Oxford, MA)",63,793
"Z01538 (North Uxbridge, MA)",17,107
"Z01540 (Oxford, MA)",222,4185
"Z01541 (Princeton, MA)",71,957
"Z01542 (Rochdale, MA)",35,599
"Z01543 (Rutland, MA)",120,1009
"Z01545 (Shrewsbury, MA)",806,11210
"Z01550 (Southbridge, MA)",324,5034
