Place,Business2015,Employment2015
"Z29405 (North Charleston, SC)",1053,18263
"Z29406 (Charleston, SC)",1305,29605
"Z29407 (Charleston, SC)",1559,20994
"Z29409 (Charleston, SC)",5,114
"Z29410 (Hanahan, SC)",181,2561
"Z29412 (Charleston, SC)",825,6375
"Z29413 (Charleston, SC)",27,267
"Z29414 (Charleston, SC)",510,7040
"Z29415 (North Charleston, SC)",12,172
"Z29416 (Charleston, SC)",6,75
"Z29417 (Charleston, SC)",17,61
"Z29418 (North Charleston, SC)",1097,23504
"Z29419 (North Charleston, SC)",28,610
"Z29420 (North Charleston, SC)",233,2850
"Z29422 (Charleston, SC)",15,90
"Z29423 (Charleston, SC)",17,i
"Z29424 (Charleston, SC)",5,g
"Z29425 (Charleston, SC)",19,i
"Z29426 (Adams Run, SC)",8,31
"Z29429 (Awendaw, SC)",49,394
"Z29431 (Bonneau, SC)",36,168
"Z29432 (Branchville, SC)",35,177
"Z29434 (Cordesville, SC)",4,b
"Z29435 (Cottageville, SC)",21,140
"Z29436 (Cross, SC)",29,114
"Z29437 (Dorchester, SC)",16,51
"Z29438 (Edisto Island, SC)",82,577
"Z29439 (Folly Beach, SC)",77,718
"Z29440 (Georgetown, SC)",658,7735
"Z29442 (Georgetown, SC)",41,574
"Z29445 (Goose Creek, SC)",652,8835
"Z29446 (Green Pond, SC)",13,96
"Z29448 (Harleyville, SC)",40,554
"Z29449 (Hollywood, SC)",97,786
"Z29450 (Huger, SC)",35,1980
"Z29451 (Isle of Palms, SC)",149,1512
"Z29452 (Jacksonboro, SC)",6,34
"Z29453 (Jamestown, SC)",11,124
"Z29455 (Johns Island, SC)",569,5934
"Z29456 (Ladson, SC)",340,4654
"Z29457 (Johns Island, SC)",9,37
"Z29458 (Mc Clellanville, SC)",33,215
"Z29461 (Moncks Corner, SC)",550,7112
"Z29464 (Mount Pleasant, SC)",2364,27087
"Z29465 (Mount Pleasant, SC)",43,577
"Z29466 (Mount Pleasant, SC)",652,5571
"Z29468 (Pineville, SC)",9,27
"Z29469 (Pinopolis, SC)",12,55
"Z29470 (Ravenel, SC)",97,671
"Z29471 (Reevesville, SC)",9,63
"Z29472 (Ridgeville, SC)",74,1022
"Z29474 (Round O, SC)",17,198
"Z29475 (Ruffin, SC)",12,27
"Z29476 (Russellville, SC)",2,a
"Z29477 (Saint George, SC)",132,1131
"Z29479 (Saint Stephen, SC)",48,766
"Z29481 (Smoaks, SC)",9,107
"Z29482 (Sullivans Island, SC)",79,655
"Z29483 (Summerville, SC)",1327,17016
"Z29484 (Summerville, SC)",32,293
"Z29485 (Summerville, SC)",721,6639
"Z29486 (Summerville, SC)",32,566
"Z29487 (Wadmalaw Island, SC)",28,143
"Z29488 (Walterboro, SC)",579,6258
"Z29492 (Charleston, SC)",572,9825
"Z29493 (Williams, SC)",4,42
"Z29501 (Florence, SC)",1666,29416
"Z29502 (Florence, SC)",52,1216
"Z29503 (Florence, SC)",23,171
"Z29504 (Florence, SC)",26,346
"Z29505 (Florence, SC)",436,7167
"Z29506 (Florence, SC)",273,10983
"Z29510 (Andrews, SC)",152,1811
"Z29511 (Aynor, SC)",85,733
"Z29512 (Bennettsville, SC)",256,4404
"Z29516 (Blenheim, SC)",6,26
"Z29518 (Cades, SC)",17,86
"Z29519 (Centenary, SC)",1,a
"Z29520 (Cheraw, SC)",299,6104
"Z29525 (Clio, SC)",19,276
"Z29526 (Conway, SC)",1097,14626
"Z29527 (Conway, SC)",210,1758
"Z29528 (Conway, SC)",31,600
"Z29530 (Coward, SC)",22,61
"Z29532 (Darlington, SC)",312,3761
"Z29536 (Dillon, SC)",344,5832
"Z29540 (Darlington, SC)",55,1326
"Z29541 (Effingham, SC)",87,1167
"Z29543 (Fork, SC)",2,b
"Z29544 (Galivants Ferry, SC)",32,173
"Z29545 (Green Sea, SC)",10,41
"Z29546 (Gresham, SC)",17,104
"Z29547 (Hamer, SC)",25,329
"Z29550 (Hartsville, SC)",586,9867
"Z29551 (Hartsville, SC)",21,118
"Z29554 (Hemingway, SC)",135,1659
"Z29555 (Johnsonville, SC)",86,1198
"Z29556 (Kingstree, SC)",262,3612
"Z29560 (Lake City, SC)",258,4315
"Z29563 (Lake View, SC)",26,221
"Z29564 (Lane, SC)",2,c
"Z29565 (Latta, SC)",73,934
"Z29566 (Little River, SC)",392,3185
"Z29567 (Little Rock, SC)",6,43
"Z29568 (Longs, SC)",161,1007
"Z29569 (Loris, SC)",267,2950
"Z29570 (Mc Coll, SC)",27,190
"Z29571 (Marion, SC)",237,2611
"Z29572 (Myrtle Beach, SC)",638,10545
"Z29574 (Mullins, SC)",221,2486
"Z29575 (Myrtle Beach, SC)",577,6792
"Z29576 (Murrells Inlet, SC)",815,8572
"Z29577 (Myrtle Beach, SC)",2305,31557
"Z29578 (Myrtle Beach, SC)",58,826
"Z29579 (Myrtle Beach, SC)",649,6879
"Z29580 (Nesmith, SC)",5,b
"Z29581 (Nichols, SC)",46,266
"Z29582 (North Myrtle Beach, SC)",803,10530
"Z29583 (Pamplico, SC)",59,393
"Z29584 (Patrick, SC)",18,105
"Z29585 (Pawleys Island, SC)",593,5572
"Z29587 (Myrtle Beach, SC)",25,202
"Z29588 (Myrtle Beach, SC)",703,5041
"Z29590 (Salters, SC)",17,97
"Z29591 (Scranton, SC)",46,673
"Z29592 (Sellers, SC)",3,b
"Z29593 (Society Hill, SC)",24,648
"Z29594 (Tatum, SC)",1,b
"Z29596 (Wallace, SC)",21,200
"Z29597 (North Myrtle Beach, SC)",15,174
"Z29598 (North Myrtle Beach, SC)",2,a
"Z29601 (Greenville, SC)",1322,21407
"Z29602 (Greenville, SC)",44,1434
"Z29603 (Greenville, SC)",7,172
"Z29604 (Greenville, SC)",26,345
"Z29605 (Greenville, SC)",884,20135
"Z29606 (Greenville, SC)",26,988
"Z29607 (Greenville, SC)",2407,53804
"Z29608 (Greenville, SC)",19,132
"Z29609 (Greenville, SC)",872,11579
"Z29610 (Greenville, SC)",17,136
"Z29611 (Greenville, SC)",547,7993
"Z29612 (Greenville, SC)",1,a
"Z29613 (Greenville, SC)",8,1976
"Z29614 (Greenville, SC)",3,h
"Z29615 (Greenville, SC)",1504,35804
"Z29616 (Greenville, SC)",15,f
"Z29617 (Greenville, SC)",219,1989
"Z29620 (Abbeville, SC)",232,3245
"Z29621 (Anderson, SC)",1265,22968
"Z29622 (Anderson, SC)",49,1457
"Z29623 (Anderson, SC)",13,142
"Z29624 (Anderson, SC)",348,3916
"Z29625 (Anderson, SC)",426,6955
"Z29626 (Anderson, SC)",133,3017
"Z29627 (Belton, SC)",224,2000
"Z29628 (Calhoun Falls, SC)",17,465
"Z29630 (Central, SC)",133,2088
"Z29631 (Clemson, SC)",323,4218
"Z29632 (Clemson, SC)",2,b
"Z29633 (Clemson, SC)",12,73
"Z29634 (Clemson, SC)",6,391
"Z29635 (Cleveland, SC)",13,28
"Z29636 (Conestee, SC)",7,41
"Z29638 (Donalds, SC)",19,169
"Z29639 (Due West, SC)",20,513
"Z29640 (Easley, SC)",737,13530
"Z29641 (Easley, SC)",34,561
"Z29642 (Easley, SC)",393,3656
"Z29643 (Fair Play, SC)",48,380
"Z29644 (Fountain Inn, SC)",294,7185
"Z29645 (Gray Court, SC)",95,1416
"Z29646 (Greenwood, SC)",503,9715
"Z29647 (Greenwood, SC)",1,a
"Z29648 (Greenwood, SC)",47,2387
"Z29649 (Greenwood, SC)",617,8648
"Z29650 (Greer, SC)",950,12768
"Z29651 (Greer, SC)",864,17706
"Z29652 (Greer, SC)",36,676
"Z29653 (Hodges, SC)",49,967
"Z29654 (Honea Path, SC)",124,1690
"Z29655 (Iva, SC)",59,483
"Z29656 (La France, SC)",2,b
"Z29657 (Liberty, SC)",160,2785
"Z29658 (Long Creek, SC)",9,68
"Z29661 (Marietta, SC)",68,944
"Z29662 (Mauldin, SC)",384,4648
"Z29664 (Mountain Rest, SC)",18,66
"Z29665 (Newry, SC)",2,a
"Z29666 (Ninety Six, SC)",68,385
"Z29667 (Norris, SC)",7,15
"Z29669 (Pelzer, SC)",148,1122
"Z29670 (Pendleton, SC)",166,1719
"Z29671 (Pickens, SC)",272,2711
"Z29672 (Seneca, SC)",234,3802
"Z29673 (Piedmont, SC)",556,9447
"Z29675 (Richland, SC)",4,51
"Z29676 (Salem, SC)",63,439
"Z29677 (Sandy Springs, SC)",15,f
"Z29678 (Seneca, SC)",626,8972
"Z29679 (Seneca, SC)",20,337
"Z29680 (Simpsonville, SC)",336,4278
"Z29681 (Simpsonville, SC)",856,12943
"Z29682 (Six Mile, SC)",38,296
"Z29683 (Slater, SC)",5,c
"Z29684 (Starr, SC)",41,396
"Z29685 (Sunset, SC)",19,237
"Z29686 (Tamassee, SC)",7,123
"Z29687 (Taylors, SC)",666,5538
"Z29688 (Tigerville, SC)",3,f
"Z29689 (Townville, SC)",46,162
"Z29690 (Travelers Rest, SC)",372,3837
"Z29691 (Walhalla, SC)",160,1897
"Z29692 (Ware Shoals, SC)",55,642
"Z29693 (Westminster, SC)",203,2577
"Z29696 (West Union, SC)",89,1458
"Z29697 (Williamston, SC)",167,2567
"Z29702 (Blacksburg, SC)",125,1628
"Z29703 (Bowling Green, SC)",5,52
"Z29704 (Catawba, SC)",30,933
"Z29706 (Chester, SC)",339,4176
"Z29707 (Fort Mill, SC)",314,6271
"Z29708 (Fort Mill, SC)",705,8759
"Z29709 (Chesterfield, SC)",106,1070
"Z29710 (Clover, SC)",544,5211
"Z29712 (Edgemoor, SC)",16,88
"Z29714 (Fort Lawn, SC)",27,273
"Z29715 (Fort Mill, SC)",588,12882
"Z29716 (Fort Mill, SC)",14,234
"Z29717 (Hickory Grove, SC)",10,99
"Z29718 (Jefferson, SC)",38,250
"Z29720 (Lancaster, SC)",745,8804
"Z29721 (Lancaster, SC)",50,639
"Z29726 (Mc Connells, SC)",19,129
"Z29727 (Mount Croghan, SC)",6,29
"Z29728 (Pageland, SC)",165,3745
"Z29729 (Richburg, SC)",64,1535
"Z29730 (Rock Hill, SC)",1136,22994
"Z29731 (Rock Hill, SC)",52,971
"Z29732 (Rock Hill, SC)",1172,13575
"Z29733 (Rock Hill, SC)",5,c
"Z29741 (Ruby, SC)",13,64
"Z29742 (Sharon, SC)",21,103
"Z29743 (Smyrna, SC)",10,19
"Z29744 (Van Wyck, SC)",3,9
"Z29745 (York, SC)",433,6051
"Z29801 (Aiken, SC)",746,11513
"Z29802 (Aiken, SC)",36,1197
"Z29803 (Aiken, SC)",696,9290
"Z29804 (Aiken, SC)",11,84
"Z29805 (Aiken, SC)",80,1898
"Z29808 (Aiken, SC)",13,i
"Z29809 (New Ellenton, SC)",44,330
"Z29810 (Allendale, SC)",68,616
"Z29812 (Barnwell, SC)",232,2606
"Z29813 (Hilda, SC)",1,a
"Z29816 (Bath, SC)",10,93
"Z29817 (Blackville, SC)",44,487
"Z29819 (Bradley, SC)",15,56
"Z29821 (Clarks Hill, SC)",8,26
"Z29822 (Clearwater, SC)",15,145
"Z29824 (Edgefield, SC)",127,1597
"Z29826 (Elko, SC)",3,17
"Z29827 (Fairfax, SC)",41,819
"Z29828 (Gloverville, SC)",12,37
"Z29829 (Graniteville, SC)",106,4256
"Z29831 (Jackson, SC)",26,550
"Z29832 (Johnston, SC)",68,859
"Z29834 (Langley, SC)",18,162
"Z29835 (Mc Cormick, SC)",70,902
"Z29836 (Martin, SC)",2,c
"Z29838 (Modoc, SC)",6,63
"Z29839 (Montmorenci, SC)",4,7
"Z29840 (Mount Carmel, SC)",1,a
"Z29841 (North Augusta, SC)",533,7309
"Z29842 (Beech Island, SC)",91,3001
"Z29843 (Olar, SC)",21,132
"Z29844 (Parksville, SC)",1,a
"Z29845 (Plum Branch, SC)",4,12
"Z29846 (Sycamore, SC)",6,19
"Z29847 (Trenton, SC)",45,1692
"Z29848 (Troy, SC)",4,9
"Z29849 (Ulmer, SC)",4,14
"Z29851 (Warrenville, SC)",79,866
"Z29853 (Williston, SC)",73,1329
"Z29856 (Windsor, SC)",10,40
"Z29860 (North Augusta, SC)",137,1832
"Z29861 (North Augusta, SC)",9,88
"Z29901 (Beaufort, SC)",28,330
"Z29902 (Beaufort, SC)",542,6330
"Z29903 (Beaufort, SC)",9,66
"Z29904 (Beaufort, SC)",20,171
"Z29905 (Parris Island, SC)",18,562
"Z29906 (Beaufort, SC)",331,4057
"Z29907 (Beaufort, SC)",238,1991
"Z29909 (Okatie, SC)",208,2023
"Z29910 (Bluffton, SC)",1243,12437
"Z29911 (Brunson, SC)",10,101
"Z29912 (Coosawhatchie, SC)",2,a
"Z29914 (Dale, SC)",1,a
"Z29915 (Daufuskie Island, SC)",15,211
"Z29916 (Early Branch, SC)",19,292
"Z29918 (Estill, SC)",75,961
"Z29920 (Saint Helena Island, SC)",98,747
"Z29921 (Furman, SC)",1,a
"Z29922 (Garnett, SC)",5,19
"Z29923 (Gifford, SC)",2,a
"Z29924 (Hampton, SC)",135,1101
"Z29925 (Hilton Head Island, SC)",39,322
"Z29926 (Hilton Head Island, SC)",976,9397
"Z29927 (Hardeeville, SC)",230,3483
"Z29928 (Hilton Head Island, SC)",1034,11642
"Z29929 (Islandton, SC)",5,9
"Z29931 (Lobeco, SC)",3,24
"Z29932 (Luray, SC)",6,107
"Z29934 (Pineland, SC)",3,a
"Z29935 (Port Royal, SC)",109,1108
"Z29936 (Ridgeland, SC)",342,3630
"Z29938 (Hilton Head Island, SC)",54,706
"Z29940 (Seabrook, SC)",23,121
"Z29941 (Sheldon, SC)",16,214
"Z29943 (Tillman, SC)",5,21
"Z29944 (Varnville, SC)",53,561
"Z29945 (Yemassee, SC)",63,578
"Z30002 (Avondale Estates, GA)",131,967
"Z30003 (Norcross, GA)",6,23
"Z30004 (Alpharetta, GA)",2432,37941
"Z30005 (Alpharetta, GA)",1776,40687
"Z30006 (Marietta, GA)",10,59
"Z30007 (Marietta, GA)",11,66
"Z30008 (Marietta, GA)",246,2012
"Z30009 (Alpharetta, GA)",903,22790
"Z30010 (Norcross, GA)",9,57
"Z30011 (Auburn, GA)",172,1693
"Z30012 (Conyers, GA)",664,9678
"Z30013 (Conyers, GA)",763,17361
"Z30014 (Covington, GA)",880,13971
"Z30015 (Covington, GA)",28,194
"Z30016 (Covington, GA)",301,2498
"Z30017 (Grayson, GA)",362,2505
"Z30018 (Jersey, GA)",9,67
"Z30019 (Dacula, GA)",739,7410
"Z30021 (Clarkston, GA)",215,1712
"Z30022 (Alpharetta, GA)",2380,36437
"Z30023 (Alpharetta, GA)",14,146
"Z30024 (Suwanee, GA)",2788,33326
"Z30025 (Social Circle, GA)",142,2023
"Z30026 (North Metro, GA)",3,b
"Z30028 (Cumming, GA)",270,2377
"Z30029 (North Metro, GA)",7,f
"Z30030 (Decatur, GA)",1237,14157
"Z30031 (Decatur, GA)",20,136
"Z30032 (Decatur, GA)",547,6230
"Z30033 (Decatur, GA)",852,13055
"Z30034 (Decatur, GA)",417,4578
"Z30035 (Decatur, GA)",377,6689
"Z30036 (Decatur, GA)",4,2
"Z30037 (Decatur, GA)",7,e
"Z30038 (Lithonia, GA)",451,6418
"Z30039 (Snellville, GA)",485,3984
"Z30040 (Cumming, GA)",1855,17525
"Z30041 (Cumming, GA)",1731,16444
"Z30042 (Lawrenceville, GA)",8,117
"Z30043 (Lawrenceville, GA)",1840,27547
"Z30044 (Lawrenceville, GA)",1051,9748
"Z30045 (Lawrenceville, GA)",850,13081
"Z30046 (Lawrenceville, GA)",769,8964
"Z30047 (Lilburn, GA)",1400,10796
"Z30048 (Lilburn, GA)",20,159
"Z30049 (Lawrenceville, GA)",23,584
"Z30052 (Loganville, GA)",1035,9572
"Z30054 (Oxford, GA)",120,860
"Z30055 (Mansfield, GA)",34,182
"Z30056 (Newborn, GA)",17,73
"Z30058 (Lithonia, GA)",507,8572
"Z30060 (Marietta, GA)",1472,25208
"Z30061 (Marietta, GA)",20,107
"Z30062 (Marietta, GA)",2103,22316
"Z30063 (Marietta, GA)",8,i
"Z30064 (Marietta, GA)",1102,8804
"Z30065 (Marietta, GA)",13,397
"Z30066 (Marietta, GA)",1664,19499
"Z30067 (Marietta, GA)",1477,24908
"Z30068 (Marietta, GA)",1038,7845
"Z30069 (Marietta, GA)",9,146
"Z30070 (Porterdale, GA)",9,210
"Z30071 (Norcross, GA)",1684,37302
"Z30072 (Pine Lake, GA)",9,25
"Z30074 (Redan, GA)",10,100
"Z30075 (Roswell, GA)",1838,20663
"Z30076 (Roswell, GA)",1892,27953
"Z30077 (Roswell, GA)",15,128
"Z30078 (Snellville, GA)",1059,12188
"Z30079 (Scottdale, GA)",82,680
"Z30080 (Smyrna, GA)",1468,28801
"Z30081 (Smyrna, GA)",5,27
"Z30082 (Smyrna, GA)",547,9538
"Z30083 (Stone Mountain, GA)",581,8076
"Z30084 (Tucker, GA)",1673,32863
"Z30085 (Tucker, GA)",15,331
"Z30086 (Stone Mountain, GA)",6,24
"Z30087 (Stone Mountain, GA)",603,6523
"Z30088 (Stone Mountain, GA)",138,1138
"Z30090 (Marietta, GA)",11,157
"Z30091 (Norcross, GA)",19,847
"Z30092 (Norcross, GA)",1621,34055
"Z30093 (Norcross, GA)",1359,21197
"Z30094 (Conyers, GA)",444,4141
"Z30095 (Duluth, GA)",12,106
"Z30096 (Duluth, GA)",2680,43098
"Z30097 (Duluth, GA)",1971,27852
"Z30098 (Duluth, GA)",5,i
"Z30099 (Duluth, GA)",8,g
"Z30101 (Acworth, GA)",1083,11418
"Z30102 (Acworth, GA)",441,3395
"Z30103 (Adairsville, GA)",190,3435
"Z30104 (Aragon, GA)",20,78
"Z30105 (Armuchee, GA)",35,320
"Z30106 (Austell, GA)",464,9317
"Z30107 (Ball Ground, GA)",260,3136
"Z30108 (Bowdon, GA)",97,1170
"Z30109 (Bowdon Junction, GA)",1,a
"Z30110 (Bremen, GA)",246,3594
"Z30111 (Clarkdale, GA)",3,11
"Z30112 (Carrollton, GA)",18,141
"Z30113 (Buchanan, GA)",65,618
"Z30114 (Canton, GA)",1170,13323
"Z30115 (Canton, GA)",778,6924
"Z30116 (Carrollton, GA)",219,1773
"Z30117 (Carrollton, GA)",1007,18519
"Z30118 (Carrollton, GA)",2,c
"Z30119 (Carrollton, GA)",10,h
"Z30120 (Cartersville, GA)",1141,19047
"Z30121 (Cartersville, GA)",356,5799
"Z30122 (Lithia Springs, GA)",504,13408
"Z30123 (Cassville, GA)",4,22
"Z30124 (Cave Spring, GA)",29,259
"Z30125 (Cedartown, GA)",349,5205
"Z30126 (Mableton, GA)",631,8561
"Z30127 (Powder Springs, GA)",680,5434
"Z30129 (Coosa, GA)",7,53
"Z30132 (Dallas, GA)",550,4808
"Z30133 (Douglasville, GA)",13,533
"Z30134 (Douglasville, GA)",777,8184
"Z30135 (Douglasville, GA)",1004,12881
"Z30137 (Emerson, GA)",18,305
"Z30138 (Esom Hill, GA)",1,a
"Z30139 (Fairmount, GA)",39,315
"Z30140 (Felton, GA)",1,b
"Z30141 (Hiram, GA)",514,6891
"Z30142 (Holly Springs, GA)",19,236
"Z30143 (Jasper, GA)",556,5270
"Z30144 (Kennesaw, GA)",2094,46492
"Z30145 (Kingston, GA)",46,167
"Z30146 (Lebanon, GA)",4,6
"Z30147 (Lindale, GA)",32,205
"Z30148 (Marble Hill, GA)",41,402
"Z30149 (Mount Berry, GA)",5,g
"Z30150 (Mount Zion, GA)",2,b
"Z30151 (Nelson, GA)",6,51
"Z30152 (Kennesaw, GA)",786,8724
"Z30153 (Rockmart, GA)",253,4908
"Z30154 (Douglasville, GA)",7,97
"Z30156 (Kennesaw, GA)",10,40
"Z30157 (Dallas, GA)",427,3334
"Z30160 (Kennesaw, GA)",3,6
"Z30161 (Rome, GA)",907,14893
"Z30162 (Rome, GA)",40,2542
"Z30163 (Rome, GA)",1,a
"Z30164 (Rome, GA)",7,116
"Z30165 (Rome, GA)",827,13024
"Z30168 (Austell, GA)",371,9403
"Z30169 (Canton, GA)",4,35
"Z30170 (Roopville, GA)",39,227
"Z30171 (Rydal, GA)",25,595
"Z30172 (Shannon, GA)",5,23
"Z30173 (Silver Creek, GA)",33,161
"Z30175 (Talking Rock, GA)",49,275
"Z30176 (Tallapoosa, GA)",116,1971
"Z30177 (Tate, GA)",14,151
"Z30178 (Taylorsville, GA)",44,307
"Z30179 (Temple, GA)",132,1101
"Z30180 (Villa Rica, GA)",573,7782
"Z30182 (Waco, GA)",22,158
"Z30183 (Waleska, GA)",64,848
"Z30184 (White, GA)",80,1199
"Z30185 (Whitesburg, GA)",31,166
"Z30187 (Winston, GA)",115,668
"Z30188 (Woodstock, GA)",1531,14065
"Z30189 (Woodstock, GA)",913,7634
"Z30204 (Barnesville, GA)",193,2281
"Z30205 (Brooks, GA)",69,222
"Z30206 (Concord, GA)",21,61
"Z30212 (Experiment, GA)",2,a
"Z30213 (Fairburn, GA)",368,7213
"Z30214 (Fayetteville, GA)",1176,14877
"Z30215 (Fayetteville, GA)",416,2202
"Z30216 (Flovilla, GA)",8,38
"Z30217 (Franklin, GA)",113,1237
"Z30218 (Gay, GA)",25,139
"Z30219 (Glenn, GA)",1,b
"Z30220 (Grantville, GA)",30,161
"Z30222 (Greenville, GA)",50,334
"Z30223 (Griffin, GA)",623,8908
"Z30224 (Griffin, GA)",480,8085
"Z30228 (Hampton, GA)",315,2776
"Z30229 (Haralson, GA)",9,67
"Z30230 (Hogansville, GA)",87,1316
"Z30233 (Jackson, GA)",356,4680
"Z30234 (Jenkinsburg, GA)",23,281
"Z30236 (Jonesboro, GA)",807,8448
"Z30237 (Jonesboro, GA)",11,80
"Z30238 (Jonesboro, GA)",118,539
"Z30240 (Lagrange, GA)",750,18271
"Z30241 (Lagrange, GA)",425,6281
"Z30248 (Locust Grove, GA)",389,4011
"Z30250 (Lovejoy, GA)",27,840
"Z30251 (Luthersville, GA)",24,141
"Z30252 (Mcdonough, GA)",415,3314
"Z30253 (Mcdonough, GA)",1258,24003
"Z30256 (Meansville, GA)",17,113
"Z30257 (Milner, GA)",39,443
"Z30258 (Molena, GA)",20,292
"Z30259 (Moreland, GA)",30,81
"Z30260 (Morrow, GA)",687,14004
"Z30261 (Lagrange, GA)",1,a
"Z30263 (Newnan, GA)",1012,11975
"Z30264 (Newnan, GA)",20,291
"Z30265 (Newnan, GA)",738,15876
"Z30266 (Orchard Hill, GA)",6,13
"Z30268 (Palmetto, GA)",151,1349
"Z30269 (Peachtree City, GA)",1272,17841
"Z30271 (Newnan, GA)",9,189
"Z30272 (Red Oak, GA)",8,255
"Z30273 (Rex, GA)",63,512
"Z30274 (Riverdale, GA)",475,6799
"Z30275 (Sargent, GA)",3,8
"Z30276 (Senoia, GA)",189,1331
"Z30277 (Sharpsburg, GA)",227,1714
"Z30281 (Stockbridge, GA)",1273,15514
"Z30284 (Sunny Side, GA)",10,84
"Z30285 (The Rock, GA)",5,e
"Z30286 (Thomaston, GA)",427,4919
"Z30287 (Morrow, GA)",2,a
"Z30288 (Conley, GA)",170,4992
"Z30289 (Turin, GA)",6,41
"Z30290 (Tyrone, GA)",335,3073
"Z30291 (Union City, GA)",286,5910
"Z30292 (Williamson, GA)",58,290
"Z30293 (Woodbury, GA)",40,421
"Z30294 (Ellenwood, GA)",299,6658
"Z30295 (Zebulon, GA)",118,1097
"Z30296 (Riverdale, GA)",112,517
"Z30297 (Forest Park, GA)",655,14670
"Z30298 (Forest Park, GA)",12,220
"Z30301 (Atlanta, GA)",31,564
"Z30302 (Atlanta, GA)",2,a
"Z30303 (Atlanta, GA)",1586,57304
"Z30304 (Atlanta, GA)",1,a
"Z30305 (Atlanta, GA)",2145,35130
"Z30306 (Atlanta, GA)",701,6813
"Z30307 (Atlanta, GA)",731,6904
"Z30308 (Atlanta, GA)",985,30099
"Z30309 (Atlanta, GA)",1951,48122
"Z30310 (Atlanta, GA)",363,5319
"Z30311 (Atlanta, GA)",304,2673
"Z30312 (Atlanta, GA)",639,8350
"Z30313 (Atlanta, GA)",178,10716
"Z30314 (Atlanta, GA)",138,5335
"Z30315 (Atlanta, GA)",379,6876
"Z30316 (Atlanta, GA)",598,8786
"Z30317 (Atlanta, GA)",235,1648
"Z30318 (Atlanta, GA)",1808,29854
"Z30319 (Atlanta, GA)",1072,20813
"Z30320 (Atlanta, GA)",135,10750
"Z30321 (Atlanta, GA)",15,83
"Z30322 (Atlanta, GA)",41,j
"Z30324 (Atlanta, GA)",1088,15333
"Z30325 (Atlanta, GA)",14,290
"Z30326 (Atlanta, GA)",1414,38425
"Z30327 (Atlanta, GA)",860,14370
"Z30328 (Atlanta, GA)",2497,58405
"Z30329 (Atlanta, GA)",1058,21519
"Z30331 (Atlanta, GA)",635,8745
"Z30332 (Atlanta, GA)",34,496
"Z30333 (Atlanta, GA)",12,170
"Z30334 (Atlanta, GA)",14,197
"Z30336 (Atlanta, GA)",599,23216
"Z30337 (Atlanta, GA)",342,11848
"Z30338 (Atlanta, GA)",1433,20593
"Z30339 (Atlanta, GA)",2365,73831
"Z30340 (Atlanta, GA)",1249,17234
"Z30341 (Atlanta, GA)",1445,16764
"Z30342 (Atlanta, GA)",1575,29989
"Z30343 (Atlanta, GA)",3,12
"Z30344 (Atlanta, GA)",640,46381
"Z30345 (Atlanta, GA)",695,6924
"Z30346 (Atlanta, GA)",712,20448
"Z30348 (Atlanta, GA)",19,h
"Z30349 (Atlanta, GA)",978,22909
"Z30350 (Atlanta, GA)",840,19887
"Z30353 (Atlanta, GA)",1,a
"Z30354 (Atlanta, GA)",472,16668
"Z30355 (Atlanta, GA)",12,18
"Z30356 (Atlanta, GA)",33,167
"Z30357 (Atlanta, GA)",9,27
"Z30358 (Atlanta, GA)",12,29
"Z30359 (Atlanta, GA)",9,31
"Z30360 (Atlanta, GA)",432,5359
"Z30361 (Atlanta, GA)",183,3880
"Z30362 (Atlanta, GA)",23,246
"Z30363 (Atlanta, GA)",147,3933
"Z30364 (Atlanta, GA)",8,92
"Z30366 (Atlanta, GA)",11,220
"Z30368 (Atlanta, GA)",3,7
"Z30371 (Atlanta, GA)",5,c
"Z30375 (Atlanta, GA)",12,h
"Z30377 (Atlanta, GA)",2,a
"Z30380 (Atlanta, GA)",5,c
"Z30388 (Atlanta, GA)",1,a
"Z30392 (Atlanta, GA)",1,b
"Z30396 (Atlanta, GA)",3,14
"Z30401 (Swainsboro, GA)",307,3934
"Z30410 (Ailey, GA)",17,162
"Z30411 (Alamo, GA)",29,639
"Z30412 (Alston, GA)",1,a
"Z30413 (Bartow, GA)",13,33
"Z30414 (Bellville, GA)",9,144
"Z30415 (Brooklet, GA)",96,625
"Z30417 (Claxton, GA)",204,3644
"Z30420 (Cobbtown, GA)",11,40
"Z30421 (Collins, GA)",21,95
"Z30423 (Daisy, GA)",2,a
"Z30424 (Dover, GA)",1,a
"Z30425 (Garfield, GA)",6,15
"Z30426 (Girard, GA)",7,23
"Z30427 (Glennville, GA)",168,1955
"Z30428 (Glenwood, GA)",36,230
"Z30429 (Hagan, GA)",10,84
"Z30434 (Louisville, GA)",123,1362
"Z30436 (Lyons, GA)",156,1726
"Z30439 (Metter, GA)",202,2143
"Z30441 (Midville, GA)",19,108
"Z30442 (Millen, GA)",105,946
"Z30445 (Mount Vernon, GA)",35,346
"Z30446 (Newington, GA)",18,193
"Z30448 (Nunez, GA)",1,a
"Z30449 (Oliver, GA)",1,a
"Z30450 (Portal, GA)",20,86
"Z30451 (Pulaski, GA)",2,b
"Z30452 (Register, GA)",27,227
"Z30453 (Reidsville, GA)",94,1038
"Z30454 (Rockledge, GA)",3,a
"Z30455 (Rocky Ford, GA)",3,a
"Z30456 (Sardis, GA)",12,61
"Z30457 (Soperton, GA)",88,744
"Z30458 (Statesboro, GA)",1056,14903
