Place,Business2011,Employment2011
"Z01524 (Leicester, MA)",105,1208
"Z01525 (Linwood, MA)",25,258
"Z01526 (Manchaug, MA)",13,74
"Z01527 (Millbury, MA)",274,4570
"Z01529 (Millville, MA)",28,79
"Z01531 (New Braintree, MA)",17,37
"Z01532 (Northborough, MA)",447,6147
"Z01534 (Northbridge, MA)",55,690
"Z01535 (North Brookfield, MA)",76,827
"Z01536 (North Grafton, MA)",144,1755
"Z01537 (North Oxford, MA)",53,615
"Z01538 (North Uxbridge, MA)",17,c
"Z01540 (Oxford, MA)",215,3131
"Z01541 (Princeton, MA)",69,1119
"Z01542 (Rochdale, MA)",34,455
"Z01543 (Rutland, MA)",111,809
"Z01545 (Shrewsbury, MA)",780,9736
"Z01546 (Shrewsbury, MA)",1,a
"Z01550 (Southbridge, MA)",348,4678
"Z01560 (South Grafton, MA)",57,283
"Z01561 (South Lancaster, MA)",32,898
"Z01562 (Spencer, MA)",216,2695
"Z01564 (Sterling, MA)",180,1811
"Z01566 (Sturbridge, MA)",234,3631
"Z01568 (Upton, MA)",155,644
"Z01569 (Uxbridge, MA)",249,2894
"Z01570 (Webster, MA)",363,6078
"Z01571 (Dudley, MA)",161,2277
"Z01580 (Westborough, MA)",9,145
"Z01581 (Westborough, MA)",887,21763
"Z01582 (Westborough, MA)",4,40
"Z01583 (West Boylston, MA)",238,2389
"Z01585 (West Brookfield, MA)",80,713
"Z01588 (Whitinsville, MA)",209,2918
"Z01590 (Sutton, MA)",151,1794
"Z01601 (Worcester, MA)",14,274
"Z01602 (Worcester, MA)",283,2596
"Z01603 (Worcester, MA)",381,6338
"Z01604 (Worcester, MA)",678,10279
"Z01605 (Worcester, MA)",565,25090
"Z01606 (Worcester, MA)",445,9136
"Z01607 (Worcester, MA)",130,2419
"Z01608 (Worcester, MA)",541,10760
"Z01609 (Worcester, MA)",514,9041
"Z01610 (Worcester, MA)",336,9572
"Z01611 (Cherry Valley, MA)",28,213
"Z01612 (Paxton, MA)",65,656
"Z01613 (Worcester, MA)",28,410
"Z01614 (Worcester, MA)",6,b
"Z01615 (Worcester, MA)",8,e
"Z01653 (Worcester, MA)",3,b
"Z01655 (Worcester, MA)",8,54
"Z01701 (Framingham, MA)",1177,31789
"Z01702 (Framingham, MA)",820,14839
"Z01703 (Framingham, MA)",5,125
"Z01704 (Framingham, MA)",5,30
"Z01718 (Village of Nagog Woods, MA)",2,a
"Z01719 (Boxborough, MA)",140,4135
"Z01720 (Acton, MA)",728,7719
"Z01721 (Ashland, MA)",378,4628
"Z01730 (Bedford, MA)",535,17178
"Z01731 (Hanscom Afb, MA)",31,f
"Z01740 (Bolton, MA)",106,832
"Z01741 (Carlisle, MA)",108,503
"Z01742 (Concord, MA)",764,9596
"Z01745 (Fayville, MA)",24,e
"Z01746 (Holliston, MA)",373,5329
"Z01747 (Hopedale, MA)",140,1429
"Z01748 (Hopkinton, MA)",400,11476
"Z01749 (Hudson, MA)",509,7430
"Z01752 (Marlborough, MA)",1310,29217
"Z01754 (Maynard, MA)",261,2490
"Z01756 (Mendon, MA)",139,908
"Z01757 (Milford, MA)",763,13561
"Z01760 (Natick, MA)",1320,20675
"Z01770 (Sherborn, MA)",111,404
"Z01772 (Southborough, MA)",324,7341
"Z01773 (Lincoln, MA)",139,1306
"Z01775 (Stow, MA)",156,984
"Z01776 (Sudbury, MA)",499,6473
"Z01778 (Wayland, MA)",331,2539
"Z01784 (Woodville, MA)",2,a
"Z01801 (Woburn, MA)",1958,39588
"Z01803 (Burlington, MA)",1432,36683
"Z01805 (Burlington, MA)",8,i
"Z01807 (Woburn, MA)",1,a
"Z01810 (Andover, MA)",995,30426
"Z01812 (Andover, MA)",1,a
"Z01821 (Billerica, MA)",685,14841
"Z01822 (Billerica, MA)",2,e
"Z01824 (Chelmsford, MA)",804,19712
"Z01826 (Dracut, MA)",538,3997
"Z01827 (Dunstable, MA)",46,233
"Z01830 (Haverhill, MA)",545,7348
"Z01831 (Haverhill, MA)",19,135
"Z01832 (Haverhill, MA)",285,4118
"Z01833 (Georgetown, MA)",200,1591
"Z01834 (Groveland, MA)",117,883
"Z01835 (Haverhill, MA)",284,4923
"Z01840 (Lawrence, MA)",319,4466
"Z01841 (Lawrence, MA)",325,6988
"Z01842 (Lawrence, MA)",19,204
"Z01843 (Lawrence, MA)",430,8927
"Z01844 (Methuen, MA)",867,14592
"Z01845 (North Andover, MA)",843,13499
"Z01850 (Lowell, MA)",96,1382
"Z01851 (Lowell, MA)",390,7017
"Z01852 (Lowell, MA)",749,12213
"Z01853 (Lowell, MA)",19,1175
"Z01854 (Lowell, MA)",303,6492
"Z01860 (Merrimac, MA)",84,556
"Z01862 (North Billerica, MA)",359,6929
"Z01863 (North Chelmsford, MA)",215,2416
"Z01864 (North Reading, MA)",460,5617
"Z01865 (Nutting Lake, MA)",3,b
"Z01866 (Pinehurst, MA)",7,40
"Z01867 (Reading, MA)",511,6753
"Z01876 (Tewksbury, MA)",705,13169
"Z01879 (Tyngsboro, MA)",312,3569
"Z01880 (Wakefield, MA)",870,12578
"Z01885 (West Boxford, MA)",11,b
"Z01886 (Westford, MA)",551,9406
"Z01887 (Wilmington, MA)",749,17739
"Z01888 (Woburn, MA)",17,218
"Z01889 (North Reading, MA)",1,a
"Z01890 (Winchester, MA)",574,7069
"Z01901 (Lynn, MA)",278,6665
"Z01902 (Lynn, MA)",391,3366
"Z01903 (Lynn, MA)",10,66
"Z01904 (Lynn, MA)",254,2195
"Z01905 (Lynn, MA)",263,3698
"Z01906 (Saugus, MA)",755,9035
"Z01907 (Swampscott, MA)",319,2935
"Z01908 (Nahant, MA)",50,291
"Z01910 (Lynn, MA)",11,g
"Z01913 (Amesbury, MA)",385,3632
"Z01915 (Beverly, MA)",1204,19926
"Z01921 (Boxford, MA)",131,954
"Z01922 (Byfield, MA)",68,824
"Z01923 (Danvers, MA)",1072,27336
"Z01929 (Essex, MA)",143,880
"Z01930 (Gloucester, MA)",896,9383
"Z01931 (Gloucester, MA)",16,85
"Z01936 (Hamilton, MA)",18,76
"Z01937 (Hathorne, MA)",6,b
"Z01938 (Ipswich, MA)",391,4480
"Z01940 (Lynnfield, MA)",333,3902
"Z01944 (Manchester, MA)",182,1327
"Z01945 (Marblehead, MA)",555,4086
"Z01949 (Middleton, MA)",273,3162
"Z01950 (Newburyport, MA)",752,9853
"Z01951 (Newbury, MA)",66,329
"Z01952 (Salisbury, MA)",273,2290
"Z01960 (Peabody, MA)",1382,21338
"Z01961 (Peabody, MA)",24,456
"Z01965 (Prides Crossing, MA)",12,e
"Z01966 (Rockport, MA)",190,652
"Z01969 (Rowley, MA)",206,2418
"Z01970 (Salem, MA)",1120,16542
"Z01982 (South Hamilton, MA)",143,966
"Z01983 (Topsfield, MA)",231,1679
"Z01984 (Wenham, MA)",76,1341
"Z01985 (West Newbury, MA)",75,306
"Z02018 (Accord, MA)",5,52
"Z02019 (Bellingham, MA)",360,5037
"Z02020 (Brant Rock, MA)",12,129
"Z02021 (Canton, MA)",872,19872
"Z02025 (Cohasset, MA)",258,2292
"Z02026 (Dedham, MA)",815,14496
"Z02027 (Dedham, MA)",20,388
"Z02030 (Dover, MA)",107,362
"Z02031 (East Mansfield, MA)",1,a
"Z02032 (East Walpole, MA)",117,2062
"Z02035 (Foxboro, MA)",568,12041
"Z02038 (Franklin, MA)",804,12464
"Z02040 (Greenbush, MA)",9,26
"Z02041 (Green Harbor, MA)",12,c
"Z02043 (Hingham, MA)",835,11725
"Z02045 (Hull, MA)",162,1013
"Z02047 (Humarock, MA)",12,48
"Z02048 (Mansfield, MA)",551,11219
"Z02050 (Marshfield, MA)",502,4689
"Z02051 (Marshfield Hills, MA)",10,42
"Z02052 (Medfield, MA)",319,2609
"Z02053 (Medway, MA)",302,2941
"Z02054 (Millis, MA)",180,1506
"Z02056 (Norfolk, MA)",219,1593
"Z02059 (North Marshfield, MA)",7,8
"Z02060 (North Scituate, MA)",11,177
"Z02061 (Norwell, MA)",560,9038
"Z02062 (Norwood, MA)",1162,22361
"Z02065 (Ocean Bluff, MA)",3,a
"Z02066 (Scituate, MA)",340,2318
"Z02067 (Sharon, MA)",379,2366
"Z02070 (Sheldonville, MA)",4,20
"Z02071 (South Walpole, MA)",19,97
"Z02072 (Stoughton, MA)",849,12310
"Z02081 (Walpole, MA)",581,6400
"Z02090 (Westwood, MA)",426,11170
"Z02093 (Wrentham, MA)",417,4921
"Z02108 (Boston, MA)",1125,21688
"Z02109 (Boston, MA)",1224,53349
"Z02110 (Boston, MA)",1718,44312
"Z02111 (Boston, MA)",878,30615
"Z02112 (Boston, MA)",11,536
"Z02113 (Boston, MA)",182,1923
"Z02114 (Boston, MA)",642,38708
"Z02115 (Boston, MA)",609,58126
"Z02116 (Boston, MA)",1930,50315
"Z02117 (Boston, MA)",12,g
"Z02118 (Boston, MA)",759,16450
"Z02119 (Boston, MA)",388,6412
"Z02120 (Boston, MA)",156,3301
"Z02121 (Boston, MA)",171,1811
"Z02122 (Boston, MA)",448,6834
"Z02123 (Boston, MA)",4,c
"Z02124 (Boston, MA)",503,5723
"Z02125 (Boston, MA)",423,9123
"Z02126 (Mattapan, MA)",218,1949
"Z02127 (Boston, MA)",618,9688
"Z02128 (Boston, MA)",707,19060
"Z02129 (Charlestown, MA)",429,7760
"Z02130 (Jamaica Plain, MA)",586,11961
"Z02131 (Roslindale, MA)",396,4980
"Z02132 (West Roxbury, MA)",473,6038
"Z02133 (Boston, MA)",6,b
"Z02134 (Allston, MA)",518,9107
"Z02135 (Brighton, MA)",695,13596
"Z02136 (Hyde Park, MA)",403,3764
"Z02137 (Readville, MA)",13,79
"Z02138 (Cambridge, MA)",1161,46231
"Z02139 (Cambridge, MA)",1010,44781
"Z02140 (Cambridge, MA)",475,8290
"Z02141 (Cambridge, MA)",471,8027
"Z02142 (Cambridge, MA)",476,20210
"Z02143 (Somerville, MA)",572,11432
"Z02144 (Somerville, MA)",395,4206
"Z02145 (Somerville, MA)",322,3171
"Z02148 (Malden, MA)",935,12108
"Z02149 (Everett, MA)",680,10397
"Z02150 (Chelsea, MA)",650,11905
"Z02151 (Revere, MA)",701,7023
"Z02152 (Winthrop, MA)",240,1368
"Z02153 (Medford, MA)",7,b
"Z02155 (Medford, MA)",1107,17423
"Z02156 (West Medford, MA)",1,a
"Z02163 (Boston, MA)",21,366
"Z02169 (Quincy, MA)",1464,27016
"Z02170 (Quincy, MA)",228,15331
"Z02171 (Quincy, MA)",355,13141
"Z02176 (Melrose, MA)",475,5170
"Z02180 (Stoneham, MA)",612,6503
"Z02184 (Braintree, MA)",1435,25521
"Z02185 (Braintree, MA)",14,202
"Z02186 (Milton, MA)",423,5122
"Z02187 (Milton Village, MA)",10,c
"Z02188 (Weymouth, MA)",296,3401
"Z02189 (East Weymouth, MA)",411,5366
"Z02190 (South Weymouth, MA)",363,7158
"Z02191 (North Weymouth, MA)",115,930
"Z02196 (Boston, MA)",3,a
"Z02199 (Boston, MA)",242,18581
"Z02201 (Boston, MA)",6,c
"Z02203 (Boston, MA)",10,57
"Z02205 (Boston, MA)",18,685
"Z02210 (Boston, MA)",768,26603
"Z02211 (Boston, MA)",1,a
"Z02212 (Boston, MA)",2,b
"Z02215 (Boston, MA)",574,45722
"Z02217 (Boston, MA)",3,b
"Z02222 (Boston, MA)",6,41
"Z02228 (East Boston, MA)",2,a
"Z02238 (Cambridge, MA)",21,g
"Z02269 (Quincy, MA)",22,1334
"Z02283 (Boston, MA)",6,b
"Z02297 (Boston, MA)",1,a
"Z02301 (Brockton, MA)",1331,23878
"Z02302 (Brockton, MA)",350,6047
"Z02303 (Brockton, MA)",18,e
"Z02304 (Brockton, MA)",6,c
"Z02305 (Brockton, MA)",5,b
"Z02322 (Avon, MA)",232,5235
"Z02324 (Bridgewater, MA)",450,4731
"Z02325 (Bridgewater, MA)",2,a
"Z02327 (Bryantville, MA)",12,49
"Z02330 (Carver, MA)",166,1096
"Z02331 (Duxbury, MA)",32,144
"Z02332 (Duxbury, MA)",313,2039
"Z02333 (East Bridgewater, MA)",225,1875
"Z02334 (Easton, MA)",28,323
"Z02337 (Elmwood, MA)",2,b
"Z02338 (Halifax, MA)",98,940
"Z02339 (Hanover, MA)",618,6988
"Z02340 (Hanover, MA)",1,a
"Z02341 (Hanson, MA)",161,1385
"Z02343 (Holbrook, MA)",227,2290
"Z02344 (Middleboro, MA)",1,c
"Z02345 (Manomet, MA)",24,393
"Z02346 (Middleboro, MA)",522,6274
"Z02347 (Lakeville, MA)",269,2382
"Z02348 (Lakeville, MA)",1,a
"Z02349 (Middleboro, MA)",2,a
"Z02350 (Monponsett, MA)",1,a
"Z02351 (Abington, MA)",311,3649
"Z02355 (North Carver, MA)",5,a
"Z02356 (North Easton, MA)",289,2641
"Z02357 (North Easton, MA)",2,g
"Z02358 (North Pembroke, MA)",8,b
"Z02359 (Pembroke, MA)",464,4491
"Z02360 (Plymouth, MA)",1414,22946
"Z02361 (Plymouth, MA)",9,41
"Z02362 (Plymouth, MA)",18,448
"Z02364 (Kingston, MA)",367,4541
"Z02366 (South Carver, MA)",14,39
"Z02367 (Plympton, MA)",55,305
"Z02368 (Randolph, MA)",580,7462
"Z02370 (Rockland, MA)",443,6273
"Z02375 (South Easton, MA)",401,5367
"Z02379 (West Bridgewater, MA)",347,4218
"Z02381 (White Horse Beach, MA)",2,b
"Z02382 (Whitman, MA)",230,2382
"Z02420 (Lexington, MA)",504,4668
"Z02421 (Lexington, MA)",532,10329
"Z02445 (Brookline, MA)",471,5183
"Z02446 (Brookline, MA)",706,7050
"Z02447 (Brookline Village, MA)",9,30
"Z02451 (Waltham, MA)",1275,39096
"Z02452 (Waltham, MA)",410,7082
"Z02453 (Waltham, MA)",812,17438
"Z02454 (Waltham, MA)",38,971
"Z02455 (North Waltham, MA)",4,9
"Z02456 (New Town, MA)",2,a
"Z02457 (Babson Park, MA)",18,g
"Z02458 (Newton, MA)",487,8849
"Z02459 (Newton Center, MA)",682,9482
"Z02460 (Newtonville, MA)",270,2426
"Z02461 (Newton Highlands, MA)",264,2505
"Z02462 (Newton Lower Falls, MA)",127,5241
"Z02464 (Newton Upper Falls, MA)",245,4355
"Z02465 (West Newton, MA)",301,2572
"Z02466 (Auburndale, MA)",273,4495
"Z02467 (Chestnut Hill, MA)",460,13947
"Z02468 (Waban, MA)",96,430
"Z02471 (Watertown, MA)",19,901
"Z02472 (Watertown, MA)",975,18930
"Z02474 (Arlington, MA)",436,3228
"Z02475 (Arlington Heights, MA)",3,19
"Z02476 (Arlington, MA)",418,3674
"Z02478 (Belmont, MA)",555,6029
"Z02479 (Waverley, MA)",3,a
"Z02481 (Wellesley Hills, MA)",704,11249
"Z02482 (Wellesley, MA)",450,4154
"Z02492 (Needham, MA)",529,6104
"Z02493 (Weston, MA)",290,3348
"Z02494 (Needham Heights, MA)",661,12605
"Z02532 (Buzzards Bay, MA)",287,2692
"Z02534 (Cataumet, MA)",63,466
"Z02535 (Chilmark, MA)",49,151
"Z02536 (East Falmouth, MA)",343,2438
"Z02537 (East Sandwich, MA)",109,904
"Z02538 (East Wareham, MA)",110,1386
"Z02539 (Edgartown, MA)",314,1333
"Z02540 (Falmouth, MA)",480,5500
"Z02541 (Falmouth, MA)",22,71
"Z02542 (Buzzards Bay, MA)",9,35
"Z02543 (Woods Hole, MA)",48,1653
"Z02552 (Menemsha, MA)",3,a
"Z02553 (Monument Beach, MA)",28,77
"Z02554 (Nantucket, MA)",834,3369
"Z02556 (North Falmouth, MA)",111,841
"Z02557 (Oak Bluffs, MA)",199,1254
"Z02558 (Onset, MA)",28,161
"Z02559 (Pocasset, MA)",122,882
"Z02561 (Sagamore, MA)",36,258
"Z02562 (Sagamore Beach, MA)",86,691
"Z02563 (Sandwich, MA)",353,2813
"Z02564 (Siasconset, MA)",18,53
"Z02568 (Vineyard Haven, MA)",363,1815
"Z02571 (Wareham, MA)",326,4609
"Z02574 (West Falmouth, MA)",32,c
"Z02575 (West Tisbury, MA)",84,360
"Z02576 (West Wareham, MA)",84,724
"Z02584 (Nantucket, MA)",31,113
"Z02601 (Hyannis, MA)",1156,17247
"Z02630 (Barnstable, MA)",74,330
"Z02631 (Brewster, MA)",292,2016
"Z02632 (Centerville, MA)",233,1311
"Z02633 (Chatham, MA)",245,1312
"Z02634 (Centerville, MA)",1,a
"Z02635 (Cotuit, MA)",77,332
"Z02637 (Cummaquid, MA)",11,b
"Z02638 (Dennis, MA)",92,461
"Z02639 (Dennis Port, MA)",117,686
"Z02641 (East Dennis, MA)",42,232
"Z02642 (Eastham, MA)",94,325
"Z02643 (East Orleans, MA)",26,110
"Z02644 (Forestdale, MA)",66,557
"Z02645 (Harwich, MA)",230,1764
"Z02646 (Harwich Port, MA)",107,488
"Z02647 (Hyannis Port, MA)",12,48
"Z02648 (Marstons Mills, MA)",178,935
"Z02649 (Mashpee, MA)",392,3735
"Z02650 (North Chatham, MA)",33,e
"Z02651 (North Eastham, MA)",74,321
"Z02652 (North Truro, MA)",61,147
"Z02653 (Orleans, MA)",396,3038
"Z02655 (Osterville, MA)",182,1163
"Z02657 (Provincetown, MA)",390,1346
"Z02659 (South Chatham, MA)",45,154
"Z02660 (South Dennis, MA)",222,1778
"Z02661 (South Harwich, MA)",15,e
"Z02662 (South Orleans, MA)",14,31
"Z02663 (South Wellfleet, MA)",27,74
"Z02664 (South Yarmouth, MA)",331,3274
"Z02666 (Truro, MA)",38,76
"Z02667 (Wellfleet, MA)",125,383
"Z02668 (West Barnstable, MA)",90,437
"Z02669 (West Chatham, MA)",35,196
"Z02670 (West Dennis, MA)",61,208
"Z02671 (West Harwich, MA)",48,169
"Z02672 (West Hyannisport, MA)",5,6
"Z02673 (West Yarmouth, MA)",216,2029
"Z02675 (Yarmouth Port, MA)",147,1413
"Z02702 (Assonet, MA)",102,g
"Z02703 (Attleboro, MA)",943,15489
"Z02712 (Chartley, MA)",6,e
"Z02713 (Cuttyhunk, MA)",9,c
"Z02714 (Dartmouth, MA)",6,c
"Z02715 (Dighton, MA)",60,317
"Z02717 (East Freetown, MA)",111,1034
"Z02718 (East Taunton, MA)",102,1324
"Z02719 (Fairhaven, MA)",393,5900
"Z02720 (Fall River, MA)",758,15923
"Z02721 (Fall River, MA)",559,7810
"Z02722 (Fall River, MA)",72,843
"Z02723 (Fall River, MA)",241,2848
"Z02724 (Fall River, MA)",226,3433
"Z02725 (Somerset, MA)",66,1568
"Z02726 (Somerset, MA)",265,2446
"Z02738 (Marion, MA)",164,1854
"Z02739 (Mattapoisett, MA)",175,1205
"Z02740 (New Bedford, MA)",976,14831
"Z02741 (New Bedford, MA)",18,78
"Z02742 (New Bedford, MA)",10,c
"Z02743 (Acushnet, MA)",138,h
"Z02744 (New Bedford, MA)",178,2182
"Z02745 (New Bedford, MA)",486,8878
"Z02746 (New Bedford, MA)",309,3965
"Z02747 (North Dartmouth, MA)",619,11447
"Z02748 (South Dartmouth, MA)",212,1421
"Z02760 (North Attleboro, MA)",680,8194
"Z02761 (North Attleboro, MA)",15,238
"Z02762 (Plainville, MA)",305,3899
"Z02763 (Attleboro Falls, MA)",119,2186
"Z02764 (North Dighton, MA)",62,868
"Z02766 (Norton, MA)",366,6354
"Z02767 (Raynham, MA)",476,8643
"Z02768 (Raynham Center, MA)",8,88
