Place,Business2011,Employment2011
"Z00501 (Holtsville, NY)",2,a
"Z01001 (Agawam, MA)",436,8788
"Z01002 (Amherst, MA)",558,15878
"Z01003 (Amherst, MA)",16,198
"Z01004 (Amherst, MA)",19,c
"Z01005 (Barre, MA)",91,751
"Z01007 (Belchertown, MA)",217,1749
"Z01008 (Blandford, MA)",20,321
"Z01009 (Bondsville, MA)",14,119
"Z01010 (Brimfield, MA)",79,363
"Z01011 (Chester, MA)",16,39
"Z01012 (Chesterfield, MA)",13,80
"Z01013 (Chicopee, MA)",323,4788
"Z01014 (Chicopee, MA)",3,a
"Z01020 (Chicopee, MA)",529,7375
"Z01021 (Chicopee, MA)",7,190
"Z01022 (Chicopee, MA)",64,2697
"Z01026 (Cummington, MA)",17,123
"Z01027 (Easthampton, MA)",368,4016
"Z01028 (East Longmeadow, MA)",504,7617
"Z01029 (East Otis, MA)",12,135
"Z01030 (Feeding Hills, MA)",183,966
"Z01031 (Gilbertville, MA)",18,72
"Z01032 (Goshen, MA)",22,98
"Z01033 (Granby, MA)",118,558
"Z01034 (Granville, MA)",29,75
"Z01035 (Hadley, MA)",285,4542
"Z01036 (Hampden, MA)",117,621
"Z01037 (Hardwick, MA)",13,c
"Z01038 (Hatfield, MA)",57,1662
"Z01039 (Haydenville, MA)",35,252
"Z01040 (Holyoke, MA)",903,16955
"Z01041 (Holyoke, MA)",29,843
"Z01050 (Huntington, MA)",26,151
"Z01053 (Leeds, MA)",31,1268
"Z01054 (Leverett, MA)",33,106
"Z01056 (Ludlow, MA)",403,3776
"Z01057 (Monson, MA)",148,823
"Z01059 (North Amherst, MA)",13,106
"Z01060 (Northampton, MA)",761,11506
"Z01061 (Northampton, MA)",26,144
"Z01062 (Florence, MA)",183,1581
"Z01063 (Northampton, MA)",2,h
"Z01066 (North Hatfield, MA)",7,b
"Z01068 (Oakham, MA)",29,104
"Z01069 (Palmer, MA)",261,3365
"Z01070 (Plainfield, MA)",9,42
"Z01071 (Russell, MA)",23,115
"Z01072 (Shutesbury, MA)",16,77
"Z01073 (Southampton, MA)",112,889
"Z01074 (South Barre, MA)",8,65
"Z01075 (South Hadley, MA)",301,4508
"Z01077 (Southwick, MA)",220,1793
"Z01079 (Thorndike, MA)",11,42
"Z01080 (Three Rivers, MA)",42,325
"Z01081 (Wales, MA)",12,43
"Z01082 (Ware, MA)",171,2349
"Z01083 (Warren, MA)",41,958
"Z01084 (West Chesterfield, MA)",3,a
"Z01085 (Westfield, MA)",835,12942
"Z01086 (Westfield, MA)",23,g
"Z01088 (West Hatfield, MA)",22,193
"Z01089 (West Springfield, MA)",957,15593
"Z01090 (West Springfield, MA)",17,149
"Z01092 (West Warren, MA)",22,b
"Z01093 (Whately, MA)",31,725
"Z01094 (Wheelwright, MA)",3,a
"Z01095 (Wilbraham, MA)",307,3529
"Z01096 (Williamsburg, MA)",43,266
"Z01098 (Worthington, MA)",29,114
"Z01101 (Springfield, MA)",37,1033
"Z01102 (Springfield, MA)",16,h
"Z01103 (Springfield, MA)",528,7104
"Z01104 (Springfield, MA)",534,15036
"Z01105 (Springfield, MA)",259,4743
"Z01106 (Longmeadow, MA)",261,3298
"Z01107 (Springfield, MA)",149,2229
"Z01108 (Springfield, MA)",269,2551
"Z01109 (Springfield, MA)",312,7217
"Z01111 (Springfield, MA)",10,h
"Z01115 (Springfield, MA)",57,931
"Z01116 (Longmeadow, MA)",2,a
"Z01118 (Springfield, MA)",141,1508
"Z01119 (Springfield, MA)",138,3612
"Z01128 (Springfield, MA)",50,867
"Z01129 (Springfield, MA)",184,2834
"Z01138 (Springfield, MA)",6,b
"Z01139 (Springfield, MA)",2,c
"Z01144 (Springfield, MA)",40,990
"Z01151 (Indian Orchard, MA)",127,1483
"Z01199 (Springfield, MA)",2,i
"Z01201 (Pittsfield, MA)",1289,22570
"Z01202 (Pittsfield, MA)",36,446
"Z01203 (Pittsfield, MA)",1,a
"Z01220 (Adams, MA)",163,1573
"Z01222 (Ashley Falls, MA)",12,34
"Z01223 (Becket, MA)",50,268
"Z01224 (Berkshire, MA)",4,32
"Z01225 (Cheshire, MA)",53,410
"Z01226 (Dalton, MA)",126,1697
"Z01227 (Dalton, MA)",5,39
"Z01229 (Glendale, MA)",4,a
"Z01230 (Great Barrington, MA)",432,5125
"Z01235 (Hinsdale, MA)",47,c
"Z01236 (Housatonic, MA)",32,392
"Z01237 (Lanesboro, MA)",143,2252
"Z01238 (Lee, MA)",289,3234
"Z01240 (Lenox, MA)",244,3191
"Z01242 (Lenox Dale, MA)",19,c
"Z01243 (Middlefield, MA)",5,30
"Z01244 (Mill River, MA)",6,a
"Z01245 (Monterey, MA)",26,128
"Z01247 (North Adams, MA)",345,4281
"Z01252 (North Egremont, MA)",5,5
"Z01253 (Otis, MA)",29,154
"Z01254 (Richmond, MA)",34,76
"Z01255 (Sandisfield, MA)",22,116
"Z01256 (Savoy, MA)",5,12
"Z01257 (Sheffield, MA)",110,903
"Z01258 (South Egremont, MA)",38,283
"Z01259 (Southfield, MA)",23,b
"Z01260 (South Lee, MA)",15,821
"Z01262 (Stockbridge, MA)",81,925
"Z01264 (Tyringham, MA)",2,a
"Z01266 (West Stockbridge, MA)",56,147
"Z01267 (Williamstown, MA)",221,3514
"Z01270 (Windsor, MA)",8,18
"Z01301 (Greenfield, MA)",553,8101
"Z01302 (Greenfield, MA)",27,494
"Z01330 (Ashfield, MA)",35,142
"Z01331 (Athol, MA)",205,3032
"Z01337 (Bernardston, MA)",48,305
"Z01338 (Buckland, MA)",11,c
"Z01339 (Charlemont, MA)",32,253
"Z01340 (Colrain, MA)",18,c
"Z01341 (Conway, MA)",25,112
"Z01342 (Deerfield, MA)",29,831
"Z01343 (Drury, MA)",1,a
"Z01344 (Erving, MA)",13,c
"Z01346 (Heath, MA)",4,8
"Z01347 (Lake Pleasant, MA)",1,a
"Z01349 (Millers Falls, MA)",8,56
"Z01350 (Monroe Bridge, MA)",2,a
"Z01351 (Montague, MA)",32,121
"Z01354 (Gill, MA)",21,92
"Z01355 (New Salem, MA)",17,b
"Z01360 (Northfield, MA)",44,663
"Z01364 (Orange, MA)",133,1298
"Z01366 (Petersham, MA)",26,71
"Z01367 (Rowe, MA)",8,94
"Z01368 (Royalston, MA)",10,b
"Z01370 (Shelburne Falls, MA)",120,719
"Z01373 (South Deerfield, MA)",144,2915
"Z01375 (Sunderland, MA)",51,490
"Z01376 (Turners Falls, MA)",106,1744
"Z01378 (Warwick, MA)",2,a
"Z01379 (Wendell, MA)",10,19
"Z01380 (Wendell Depot, MA)",2,a
"Z01420 (Fitchburg, MA)",767,9886
"Z01430 (Ashburnham, MA)",91,689
"Z01431 (Ashby, MA)",53,116
"Z01432 (Ayer, MA)",237,4698
"Z01434 (Devens, MA)",65,2445
"Z01436 (Baldwinville, MA)",30,f
"Z01438 (East Templeton, MA)",21,c
"Z01440 (Gardner, MA)",407,6235
"Z01441 (Westminster, MA)",5,f
"Z01450 (Groton, MA)",203,1531
"Z01451 (Harvard, MA)",149,684
"Z01452 (Hubbardston, MA)",50,333
"Z01453 (Leominster, MA)",1089,16556
"Z01460 (Littleton, MA)",305,4258
"Z01462 (Lunenburg, MA)",199,1768
"Z01463 (Pepperell, MA)",212,1111
"Z01464 (Shirley, MA)",112,1132
"Z01467 (Still River, MA)",8,b
"Z01468 (Templeton, MA)",47,238
"Z01469 (Townsend, MA)",120,1091
"Z01470 (Groton, MA)",1,a
"Z01471 (Groton, MA)",6,e
"Z01472 (West Groton, MA)",11,313
"Z01473 (Westminster, MA)",158,1401
"Z01474 (West Townsend, MA)",25,208
"Z01475 (Winchendon, MA)",151,1136
"Z01477 (Winchendon Springs, MA)",3,b
"Z01501 (Auburn, MA)",566,10300
"Z01503 (Berlin, MA)",73,318
"Z01504 (Blackstone, MA)",125,794
"Z01505 (Boylston, MA)",121,1126
"Z01506 (Brookfield, MA)",46,334
"Z01507 (Charlton, MA)",228,2842
"Z01508 (Charlton City, MA)",30,409
"Z01509 (Charlton Depot, MA)",3,3
"Z01510 (Clinton, MA)",260,3504
"Z01515 (East Brookfield, MA)",44,257
"Z01516 (Douglas, MA)",115,515
"Z01518 (Fiskdale, MA)",61,423
"Z01519 (Grafton, MA)",94,g
"Z01520 (Holden, MA)",269,2530
"Z01521 (Holland, MA)",21,87
"Z01522 (Jefferson, MA)",30,c
"Z01523 (Lancaster, MA)",105,1772
